id,type,page_num,confidence,parsing_notes,content_preview
2025-s-1,solve,1,0.5,自动解析，需要人工审核,"(0) 0,..."
2025-s-2,solve,1,0.5,自动解析，需要人工审核,"(0) 0,..."
2025-s-3,solve,1,0.5,自动解析，需要人工审核,"(0) 0,..."
2025-s-1,solve,2,0.7,自动解析，需要人工审核,数学试题 第2页（共3 页） 2．已知级数：① 3 2 1 π sin 1 n n n     ；② 3 3 2 2 1 1 1 ( 1) tan n n n n        ...
2025-s-1,solve,3,0.7,自动解析，需要人工审核,"数学试题 第3页（共3 页） 3．设函数 ( ) f x 在区间  0,上可导，则 A．当  lim x f x  存在时，  lim x f x   存在． B．当 ..."
2025-s-1,solve,4,0.7,自动解析，需要人工审核,"数学试题 第4页（共3 页） D．   4 2 0 4 2 d , d y y f x y x    ． 【答案】A 【解析】由题易知，此二重积分积分区域为   2 D ( , ) 4 ..."
2025-s-1,solve,5,0.5,自动解析，需要人工审核,数学试题 第5页（共3 页）   1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 0 1 0 1 0 A= E A        ...
2025-s-1,solve,6,0.7,自动解析，需要人工审核,"数学试题 第6页（共3 页） 7．设n 阶矩阵 , , A B C 满足     2 r r r r n     A B C ABC ，给出下列四个结论： ①    ..."
2025-s-1,solve,7,0.7,自动解析，需要人工审核,"数学试题 第7页（共3 页） 即 2 2 2 1 2 0 1 a a a       ， 2 2 2 1 1 2 1 , 2 2 a a b    ，于是 1 1 , 2 2 a ..."
2025-b-1,blank,8,0.7,自动解析，需要人工审核,数学试题 第8页（共3 页） 【答案】D 【解析】 1 2 / X z X z n n         ，故选D 二、填空题：11～16 小题，每小题5 分，共30 分． 11． 0...
2025-b-1,blank,9,0.7,自动解析，需要人工审核,"数学试题 第9页（共3 页） 【解析】由题易知， 2 3 3 2 2 , 2 , 3 u u u y z xyz xy z x y z          则在 1, 1 x y  ..."
2025-b-1,blank,10,0.7,自动解析，需要人工审核,数学试题 第10页（共3 页） 【解析】由题知， 4 2 3 3 4 5 7 A a b               ，若 2 0 A x  与 0 Ax  同解，则三...
2025-s-1,solve,11,0.7,自动解析，需要人工审核,数学试题 第11页（共3 页） 三、解答题：17～22 小题，共70 分．解答应写出文字说明、证明过程或演算步骤． 17．（本题满分10 分） 计算    1 2 0 1 d . 1 2 2 ...
2025-s-1,solve,12,0.5,自动解析，需要人工审核,(1)     2 2 2 3 2 1 1 1 g x x f u f u f u f u x y y y y y y               ...
2025-s-2,solve,12,0.5,自动解析，需要人工审核,(2)     2 2 2 2 2 4 3 2 2 g x x x x x f u f u f u f u y y y y y y             ...
2025-s-1,solve,13,0.5,自动解析，需要人工审核,"数学试题 第13页（共3 页） 则在 ( , ) a b 内取任意的 1 2 3 4 5 x x x x x     ，有                 2 ..."
2025-s-1,solve,14,0.5,自动解析，需要人工审核,"数学试题 第14页（共3 页） 20.（本题满分10 分） 设Σ 是由直线      0 ,0 y x 绕直线   为参数 t t z t y t x       , ,..."
2025-s-1,solve,15,0.7,自动解析，需要人工审核,"数学试题 第15页（共3 页） 故 1 2 2 π 1 4 I I I    . 21.（本题满分10 分） 设矩阵 , 1 1 2 0 1 2 1 0          ..."
2025-b-2,blank,15,0.5,自动解析，需要人工审核,"(1)求a 的值； （2）求所有满足       2 , 2     A A 的非零列向量 .  ， 解：（1） ( ) | | (1 )[( )( 1) 4] f a  ..."
2025-s-1,solve,16,0.5,自动解析，需要人工审核,(2) 8 1 ~...
2025-s-1,solve,17,0.5,自动解析，需要人工审核,数学试题 第17页（共3 页） 更多资料关注微信公众号：考研文库...
